Designator,Mid X,Mid Y,Rotation,Layer
_2,157.566496,-47.187648,0.0,top
,142.330965,-47.196558,0.0,top
D1,49.250546,-60.930916,100.0,bottom
D10,239.001483,-62.188358,80.0,bottom
D11,46.537067,-77.805982,100.0,bottom
D12,67.037068,-71.805983,100.0,bottom
D13,86.537067,-68.805983,100.0,bottom
D14,104.537065,-78.305985,100.0,bottom
D15,121.537066,-91.305984,100.0,bottom
D16,167.377323,-93.128569,80.0,bottom
D17,184.221618,-80.609549,80.0,bottom
D18,201.978235,-70.526813,80.0,bottom
D19,221.823584,-73.930916,80.0,bottom
D2,70.537068,-52.805984,100.0,bottom
D20,242.250553,-79.681051,80.0,bottom
D21,43.037069,-96.805987,100.0,bottom
D22,63.537069,-90.805982,100.0,bottom
D23,83.537065,-87.305984,100.0,bottom
D24,101.037067,-97.305985,100.0,bottom
D25,123.037066,-110.805982,100.0,bottom
D26,166.037068,-112.805981,80.0,bottom
D27,187.750551,-99.181053,80.0,bottom
D28,205.037066,-89.305982,80.0,bottom
D29,225.25055,-92.181056,80.0,bottom
D3,90.037071,-49.805984,100.0,bottom
D30,245.537064,-98.805988,80.0,bottom
D31,80.323588,-106.181051,100.0,bottom
D32,208.537067,-108.305984,80.0,bottom
D4,107.537066,-59.805984,100.0,bottom
D5,124.537068,-72.305983,100.0,bottom
D6,163.960161,-74.247069,80.0,bottom
D7,181.228017,-61.669591,80.0,bottom
D8,198.703945,-51.729276,80.0,bottom
D9,218.61388,-55.035666,80.0,bottom
